timestamp,time,force,position,strain
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
None,0,0,0,0
00:00:00.158,0.158,39,12536,0
00:00:00.218,0.218,39,12536,0
00:00:00.476,0.476,39,12536,0
00:00:00.529,0.529,38,12536,0
00:00:00.774,0.774,39,12536,0
00:00:00.846,0.846,39,12536,0
00:00:01.091,1.091,39,12536,0
00:00:01.137,1.137,40,12536,0
00:00:01.362,1.362,39,12536,0
00:00:01.409,1.409,39,12536,0
00:00:01.647,1.647,39,12536,0
00:00:01.706,1.706,39,12536,0
00:00:02.004,2.004,39,12536,0
00:00:02.077,2.077,39,12536,0
00:00:02.328,2.328,39,12536,0
00:00:02.381,2.381,40,12536,0
00:00:02.626,2.626,39,12536,0
00:00:02.679,2.679,39,12536,0
00:00:02.943,2.943,39,12536,0
00:00:02.996,2.996,39,12536,0
00:00:03.327,3.327,39,12536,-0.367647058823522
00:00:03.387,3.387,39,12536,-0.367647058823522
00:00:03.645,3.645,40,12536,1.83823529411765
00:00:03.704,3.704,39,12536,1.83823529411765
00:00:03.936,3.936,40,12536,0
00:00:03.989,3.989,40,12536,0
00:00:04.240,4.24,40,12536,0
00:00:04.293,4.293,39,12536,0
00:00:04.538,4.538,40,12536,0
00:00:04.591,4.591,40,12537,0
00:00:04.875,4.875,40,12538,0
00:00:04.954,4.954,40,12547,0
00:00:05.226,5.226,40,12588,0
00:00:05.292,5.292,39,12588,0
00:00:05.543,5.543,40,12618,2.57352941176471
00:00:05.603,5.603,41,12631,2.57352941176471
00:00:05.887,5.887,41,12675,0
00:00:05.947,5.947,41,12691,0
00:00:06.185,6.185,42,12762,0
00:00:06.244,6.244,42,12778,0
00:00:06.502,6.502,43,12836,0
00:00:06.555,6.555,42,12845,0
00:00:06.800,6.8,44,12877,0
00:00:06.860,6.86,44,12890,0
00:00:07.124,7.124,45,12923,-0.367647058823522
00:00:07.184,7.184,45,12923,-0.367647058823522
00:00:07.468,7.468,46,12923,0
00:00:07.528,7.528,44,12923,0
00:00:07.779,7.779,45,12923,0
00:00:07.832,7.832,45,12923,0
00:00:08.064,8.064,45,12923,0
00:00:08.117,8.117,45,12923,0
00:00:08.322,8.322,46,12923,0
00:00:08.375,8.375,46,12924,0
00:00:08.593,8.593,46,12924,0
00:00:08.639,8.639,46,12924,0
00:00:08.851,8.851,46,12924,0
00:00:08.904,8.904,46,12925,0
00:00:09.135,9.135,47,12976,0
00:00:09.195,9.195,47,12983,0
00:00:09.433,9.433,47,12991,-0.367647058823522
00:00:09.493,9.493,47,12992,-0.367647058823522
00:00:09.724,9.724,48,12992,0
00:00:09.790,9.79,48,12992,0
00:00:10.062,10.062,48,12993,0
00:00:10.121,10.121,48,12993,0
00:00:10.373,10.373,48,13039,0
00:00:10.432,10.432,49,13048,0
00:00:10.684,10.684,54,13060,0
00:00:10.743,10.743,57,13060,0
00:00:11.008,11.008,50,13062,0
00:00:11.067,11.067,51,13075,0
00:00:11.319,11.319,53,13128,0
00:00:11.385,11.385,53,13128,0
00:00:11.643,11.643,56,13130,0
00:00:11.729,11.729,54,13147,0
00:00:11.993,11.993,57,13199,-0.367647058823522
00:00:12.053,12.053,57,13208,-0.367647058823522
00:00:12.324,12.324,61,13266,-0.367647058823522
00:00:12.384,12.384,62,13272,-0.367647058823522
00:00:12.668,12.668,64,13283,-0.367647058823522
00:00:12.734,12.734,65,13296,-0.367647058823522
00:00:13.006,13.006,68,13333,-0.367647058823522
00:00:13.078,13.078,68,13334,-0.367647058823522
00:00:13.356,13.356,73,13402,-0.367647058823522
00:00:13.429,13.429,75,13403,-0.367647058823522
00:00:13.714,13.714,74,13403,-0.367647058823522
00:00:13.773,13.773,74,13403,-0.367647058823522
00:00:14.031,14.031,74,13439,-0.367647058823522
00:00:14.091,14.091,76,13459,-0.367647058823522
00:00:14.395,14.395,89,13545,2.57352941176471
00:00:14.468,14.468,92,13557,2.57352941176471
00:00:14.746,14.746,99,13590,5.51470588235294
00:00:14.805,14.805,99,13605,5.51470588235294
00:00:15.083,15.083,108,13628,5.51470588235294
00:00:15.142,15.142,109,13644,5.51470588235294
00:00:15.394,15.394,115,13656,5.14705882352942
00:00:15.453,15.453,114,13658,5.14705882352942
00:00:15.692,15.692,114,13654,5.51470588235294
00:00:15.751,15.751,113,13653,5.51470588235294
00:00:16.009,16.009,114,13654,5.51470588235294
00:00:16.062,16.062,115,13655,5.51470588235294
00:00:16.347,16.347,118,13717,5.51470588235294
00:00:16.406,16.406,122,13733,5.51470588235294
00:00:16.664,16.664,141,13780,4.77941176470588
00:00:16.724,16.724,145,13780,4.77941176470588
00:00:16.949,16.949,145,13780,5.14705882352942
00:00:17.002,17.002,145,13781,5.14705882352942
00:00:17.253,17.253,144,13781,5.88235294117648
00:00:17.312,17.312,144,13781,5.88235294117648
00:00:17.551,17.551,145,13787,5.88235294117648
00:00:17.597,17.597,146,13788,5.88235294117648
00:00:17.848,17.848,151,13842,6.25
00:00:17.901,17.901,155,13855,6.25
00:00:18.153,18.153,179,13912,6.98529411764706
00:00:18.219,18.219,184,13928,6.98529411764706
00:00:18.470,18.47,205,13960,8.08823529411765
00:00:18.530,18.53,209,13960,8.08823529411765
00:00:18.801,18.801,207,13956,9.19117647058823
00:00:18.861,18.861,206,13956,9.19117647058823
00:00:19.112,19.112,205,13956,9.19117647058823
00:00:19.171,19.171,206,13956,9.19117647058823
00:00:19.390,19.39,206,13956,9.55882352941177
00:00:19.443,19.443,207,13957,9.55882352941177
00:00:19.707,19.707,210,13985,9.55882352941177
00:00:19.767,19.767,211,14007,9.55882352941177
00:00:20.065,20.065,247,14062,10.2941176470588
00:00:20.137,20.137,251,14062,10.2941176470588
00:00:20.422,20.422,254,14062,10.6617647058823
00:00:20.488,20.488,253,14062,10.6617647058823
00:00:20.759,20.759,254,14062,11.0294117647059
00:00:20.819,20.819,254,14062,11.0294117647059
00:00:21.097,21.097,255,14062,11.0294117647059
00:00:21.163,21.163,255,14062,11.0294117647059
00:00:21.388,21.388,254,14067,11.3970588235294
00:00:21.454,21.454,256,14086,11.3970588235294
00:00:21.705,21.705,276,14112,11.7647058823529
00:00:21.765,21.765,279,14112,11.7647058823529
00:00:22.056,22.056,279,14138,11.7647058823529
00:00:22.129,22.129,281,14157,11.7647058823529
00:00:22.400,22.4,311,14205,12.5
00:00:22.466,22.466,318,14215,12.5
00:00:22.737,22.737,327,14217,12.5
00:00:22.797,22.797,327,14223,12.5
00:00:23.048,23.048,342,14266,12.5
00:00:23.121,23.121,347,14267,12.5
00:00:23.359,23.359,349,14284,12.8676470588235
00:00:23.412,23.412,349,14302,12.8676470588235
00:00:23.670,23.67,373,14353,13.2352941176471
00:00:23.723,23.723,376,14353,13.2352941176471
00:00:23.961,23.961,383,14405,13.2352941176471
00:00:24.021,24.021,390,14419,13.2352941176471
00:00:24.265,24.265,403,14435,13.6029411764706
00:00:24.325,24.325,404,14436,13.6029411764706
00:00:24.609,24.609,404,14466,13.9705882352941
00:00:24.695,24.695,406,14485,13.9705882352941
00:00:24.953,24.953,411,14487,13.9705882352941
00:00:25.013,25.013,411,14487,13.9705882352941
00:00:25.251,25.251,411,14487,13.9705882352941
00:00:25.311,25.311,410,14487,13.9705882352941
00:00:25.575,25.575,411,14487,14.3382352941177
00:00:25.641,25.641,411,14487,14.3382352941177
00:00:25.899,25.899,411,14487,14.3382352941177
00:00:25.952,25.952,411,14487,14.3382352941177
00:00:26.164,26.164,410,14486,14.3382352941177
00:00:26.210,26.21,411,14486,14.3382352941177
00:00:26.455,26.455,409,14470,14.3382352941177
00:00:26.508,26.508,407,14470,14.3382352941177
00:00:26.753,26.753,406,14469,14.3382352941177
00:00:26.799,26.799,406,14469,14.3382352941177
00:00:27.024,27.024,405,14468,14.3382352941177
00:00:27.077,27.077,405,14468,14.3382352941177
00:00:27.295,27.295,405,14467,14.3382352941177
00:00:27.341,27.341,405,14467,14.3382352941177
00:00:27.553,27.553,404,14467,14.3382352941177
00:00:27.599,27.599,405,14467,14.3382352941177
00:00:27.798,27.798,405,14467,14.3382352941177
00:00:27.844,27.844,404,14467,14.3382352941177
