timestamp,time (s),force,position,strain
None,0,0,0,89.91750687442713
None,0,0,0,89.91750687442713
None,0,0,0,89.91750687442713
None,0,0,0,89.91750687442713
00:00:00.215,0.215,11,0,89.91750687442713
00:00:00.275,0.275,11,0,89.91750687442713
00:00:00.625,0.625,11,0,89.91750687442713
00:00:00.685,0.685,11,0,89.91750687442713
00:00:00.963,0.963,10,0,89.91750687442713
00:00:01.016,1.016,10,0,89.91750687442713
00:00:01.360,1.36,11,0,89.91750687442713
00:00:01.433,1.433,10,0,89.91750687442713
00:00:01.704,1.704,11,0,89.91750687442713
00:00:01.796,1.796,11,0,89.91750687442713
00:00:02.114,2.114,11,0,89.91750687442713
00:00:02.187,2.187,11,0,89.91750687442713
00:00:02.465,2.465,11,0,89.91750687442713
00:00:02.524,2.524,11,0,89.91750687442713
00:00:02.802,2.802,11,0,89.91750687442713
00:00:02.862,2.862,11,12,89.91750687442713
00:00:03.179,3.179,12,354,89.96333638863427
00:00:03.245,3.245,14,425,89.96333638863427
00:00:03.556,3.556,26,747,90.00916590284143
00:00:03.622,3.622,30,811,90.00916590284143
00:00:03.946,3.946,63,1111,89.96333638863427
00:00:04.019,4.019,74,1178,89.96333638863427
00:00:04.350,4.35,154,1494,90.51329055912007
00:00:04.515,4.515,222,1661,90.51329055912007
00:00:04.899,4.899,475,2094,91.42988084326306
00:00:04.979,4.979,515,2195,91.42988084326306
00:00:05.290,5.29,419,2629,91.79651695692026
00:00:05.349,5.349,369,2717,91.79651695692026
00:00:05.667,5.667,125,3187,91.38405132905591
00:00:05.733,5.733,96,3284,91.38405132905591
00:00:06.057,6.057,28,3726,90.69660861594868
00:00:06.123,6.123,22,3815,90.69660861594868
00:00:06.480,6.48,12,4255,90.46746104491292
00:00:06.560,6.56,12,4348,90.46746104491292
00:00:06.937,6.937,24,4776,90.42163153070578
00:00:07.010,7.01,28,4851,90.42163153070578
00:00:07.320,7.32,59,5165,90.42163153070578
00:00:07.387,7.387,69,5228,90.42163153070578
00:00:07.704,7.704,146,5552,90.74243813015582
00:00:07.777,7.777,173,5627,90.74243813015582
00:00:08.121,8.121,381,6011,91.38405132905591
00:00:08.194,8.194,436,6101,91.38405132905591
00:00:08.544,8.544,486,6571,91.93400549954171
00:00:08.624,8.624,426,6695,91.93400549954171
00:00:09.040,9.04,109,7317,91.61319890009166
00:00:09.126,9.126,77,7443,91.61319890009166
00:00:09.497,9.497,20,7957,90.55912007332722
00:00:09.570,9.57,16,8051,90.55912007332722
00:00:09.914,9.914,13,8472,90.51329055912007
00:00:09.986,9.986,13,8559,90.51329055912007
00:00:10.304,10.304,28,8924,90.51329055912007
00:00:10.390,10.39,35,9018,90.51329055912007
00:00:10.747,10.747,83,9387,90.51329055912007
00:00:10.820,10.82,100,9463,90.51329055912007
00:00:11.144,11.144,219,9807,91.06324472960587
00:00:11.237,11.237,273,9910,91.06324472960587
00:00:11.601,11.601,517,10357,91.79651695692026
00:00:11.680,11.68,532,10464,91.79651695692026
00:00:11.984,11.984,330,10917,91.97983501374885
00:00:12.051,12.051,269,11016,91.97983501374885
00:00:12.355,12.355,87,11472,91.4757103574702
00:00:12.421,12.421,66,11569,91.4757103574702
00:00:12.745,12.745,20,12024,90.55912007332722
00:00:12.811,12.811,17,12114,90.55912007332722
00:00:13.162,13.162,13,12555,90.55912007332722
00:00:13.228,13.228,13,12635,90.55912007332722
00:00:13.546,13.546,28,13002,90.51329055912007
00:00:13.612,13.612,33,13075,90.51329055912007
00:00:13.936,13.936,75,13417,90.55912007332722
00:00:14.002,14.002,88,13486,90.55912007332722
00:00:14.340,14.34,202,13847,91.06324472960587
00:00:14.399,14.399,233,13916,91.06324472960587
00:00:14.704,14.704,453,14276,91.70485792850596
00:00:14.776,14.776,497,14370,91.70485792850596
00:00:15.114,15.114,421,14858,92.02566452795601
00:00:15.180,15.18,352,14958,92.02566452795601
00:00:15.504,15.504,113,15450,91.6590284142988
00:00:15.564,15.564,88,15541,91.6590284142988
00:00:15.894,15.894,25,16015,90.78826764436297
00:00:15.954,15.954,20,16099,90.78826764436297
00:00:16.278,16.278,12,16529,90.55912007332722
00:00:16.344,16.344,13,16615,90.55912007332722
00:00:16.655,16.655,23,16996,90.51329055912007
00:00:16.715,16.715,27,17062,90.51329055912007
00:00:17.059,17.059,65,17438,90.51329055912007
00:00:17.125,17.125,78,17507,90.51329055912007
00:00:17.416,17.416,162,17821,90.97158570119157
00:00:17.475,17.475,188,17886,90.97158570119157
00:00:17.773,17.773,378,18229,91.6590284142988
00:00:17.826,17.826,420,18295,91.6590284142988
00:00:18.144,18.144,510,18728,91.97983501374885
00:00:18.210,18.21,470,18834,91.97983501374885
00:00:18.560,18.56,169,19364,91.88817598533456
00:00:18.627,18.627,131,19463,91.88817598533456
00:00:18.957,18.957,34,19957,91.20073327222731
00:00:19.030,19.03,26,20050,91.20073327222731
00:00:19.381,19.381,12,20515,90.60494958753438
00:00:19.473,19.473,12,20631,90.60494958753438
00:00:19.784,19.784,21,21005,90.55912007332722
00:00:19.844,19.844,24,21071,90.55912007332722
00:00:20.175,20.175,54,21425,90.60494958753438
00:00:20.241,20.241,65,21493,90.60494958753438
00:00:20.585,20.585,151,21856,90.78826764436297
00:00:20.651,20.651,177,21928,90.78826764436297
00:00:20.969,20.969,378,22297,91.5673693858845
00:00:21.035,21.035,430,22382,91.5673693858845
00:00:21.372,21.372,493,22849,92.02566452795601
00:00:21.438,21.438,446,22955,92.02566452795601
00:00:21.749,21.749,171,23434,91.88817598533456
00:00:21.815,21.815,133,23538,91.88817598533456
00:00:22.140,22.14,35,24029,91.29239230064161
00:00:22.199,22.199,27,24105,91.29239230064161
00:00:22.523,22.523,13,24545,90.60494958753438
00:00:22.589,22.589,12,24630,90.60494958753438
00:00:22.927,22.927,19,25044,90.60494958753438
00:00:22.986,22.986,23,25115,90.60494958753438
00:00:23.284,23.284,48,25445,90.60494958753438
00:00:23.344,23.344,56,25513,90.60494958753438
00:00:23.681,23.681,132,25877,90.65077910174152
00:00:23.760,23.76,161,25965,90.65077910174152
00:00:24.078,24.078,350,26333,91.5673693858845
00:00:24.144,24.144,401,26416,91.5673693858845
00:00:24.462,24.462,518,26851,92.07149404216315
00:00:24.528,24.528,481,26963,92.07149404216315
00:00:24.878,24.878,176,27497,91.93400549954171
00:00:24.945,24.945,135,27599,91.93400549954171
00:00:25.242,25.242,40,28053,91.29239230064161
00:00:25.302,25.302,32,28141,91.29239230064161
00:00:25.633,25.633,13,28592,90.60494958753438
00:00:25.699,25.699,12,28677,90.60494958753438
00:00:25.996,25.996,17,29056,90.60494958753438
00:00:26.056,26.056,19,29130,90.60494958753438
00:00:26.360,26.36,43,29487,90.60494958753438
00:00:26.426,26.426,52,29563,90.60494958753438
00:00:26.724,26.724,114,29896,90.65077910174152
00:00:26.790,26.79,137,29971,90.65077910174152
00:00:27.101,27.101,301,30325,91.4757103574702
00:00:27.161,27.161,346,30397,91.4757103574702
00:00:27.498,27.498,532,30842,92.02566452795601
00:00:27.564,27.564,514,30938,92.02566452795601
00:00:28.001,28.001,154,31622,92.02566452795601
00:00:28.087,28.087,110,31755,92.02566452795601
00:00:28.411,28.411,29,32234,91.24656278643447
00:00:28.477,28.477,22,32326,91.24656278643447
00:00:28.848,28.848,12,32821,90.60494958753438
00:00:28.921,28.921,13,32912,90.60494958753438
00:00:29.231,29.231,24,33290,90.60494958753438
00:00:29.298,29.298,28,33364,90.60494958753438
00:00:29.642,29.642,69,33744,90.60494958753438
00:00:29.767,29.767,95,33880,90.60494958753438
00:00:30.250,30.25,316,34420,91.42988084326306
00:00:30.316,30.316,366,34501,91.42988084326306
00:00:30.641,30.641,529,34938,92.02566452795601
00:00:30.707,30.707,505,35036,92.02566452795601
00:00:31.024,31.024,228,35533,92.07149404216315
00:00:31.104,31.104,169,35657,92.07149404216315
00:00:31.408,31.408,48,36125,91.42988084326306
00:00:31.467,31.467,38,36214,91.42988084326306
00:00:31.765,31.765,14,36627,90.65077910174152
00:00:31.838,31.838,13,36727,90.65077910174152
00:00:32.222,32.222,17,37216,90.60494958753438
00:00:32.288,32.288,20,37299,90.60494958753438
00:00:32.658,32.658,55,37714,90.60494958753438
00:00:32.738,32.738,66,37799,90.60494958753438
00:00:33.055,33.055,149,38144,91.01741521539871
00:00:33.121,33.121,175,38217,91.01741521539871
00:00:33.452,33.452,388,38607,91.6590284142988
00:00:33.518,33.518,441,38694,91.6590284142988
00:00:33.829,33.829,495,39135,92.11732355637031
00:00:33.902,33.902,443,39255,92.11732355637031
00:00:34.246,34.246,146,39789,91.93400549954171
00:00:34.312,34.312,112,39893,91.93400549954171
00:00:34.669,34.669,26,40419,91.24656278643447
00:00:34.736,34.736,21,40515,91.24656278643447
00:00:35.033,35.033,12,40916,90.60494958753438
00:00:35.099,35.099,13,41000,90.60494958753438
00:00:35.410,35.41,21,41385,90.55912007332722
00:00:35.477,35.477,26,41461,90.55912007332722
00:00:35.807,35.807,60,41833,90.60494958753438
