timestamp,time (s),force,position,strain
None,0,0,0,0.0
None,0,0,0,0.0
None,0,0,0,0.0
None,0,0,0,0.0
None,0,0,0,0.0
None,0,0,0,0.0
None,0,0,0,0.0
None,0,0,0,0.0
None,0,0,0,0.0
None,0,0,0,0.0
None,0,0,0,-0.4184100418409997
None,0,0,0,0.0
00:00:00.141,0.141,184,0,0.0
00:00:00.359,0.359,184,0,0.0
00:00:00.637,0.637,184,0,0.0
00:00:00.935,0.935,184,0,0.0
00:00:01.239,1.239,184,0,0.0
00:00:01.543,1.543,184,0,0.0
00:00:01.828,1.828,184,0,0.0
00:00:02.099,2.099,185,0,0.0
00:00:02.390,2.39,185,0,0.0
00:00:02.682,2.682,185,0,0.0
00:00:02.959,2.959,184,0,0.0
00:00:03.244,3.244,184,0,0.0
00:00:03.528,3.528,184,0,0.0
00:00:03.793,3.793,184,0,0.0
00:00:04.071,4.071,184,0,0.0
00:00:04.336,4.336,184,0,0.0
00:00:04.627,4.627,184,0,0.0
00:00:04.898,4.898,184,0,0.0
00:00:05.163,5.163,184,0,0.0
00:00:05.427,5.427,184,0,0.0
00:00:05.692,5.692,185,0,0.0
00:00:05.970,5.97,185,0,0.0
00:00:06.235,6.235,184,0,0.0
00:00:06.486,6.486,184,0,0.0
00:00:06.738,6.738,184,0,0.0
00:00:06.989,6.989,184,0,0.0
00:00:07.240,7.24,184,0,0.0
00:00:07.492,7.492,184,0,0.0
00:00:07.743,7.743,184,0,0.0
00:00:07.988,7.988,184,0,0.0
00:00:08.233,8.233,184,0,0.0
00:00:08.484,8.484,184,0,0.0
00:00:08.742,8.742,184,0,0.0
00:00:09.034,9.034,184,0,0.0
00:00:09.325,9.325,184,0,0.0
00:00:09.589,9.589,184,0,0.0
00:00:09.854,9.854,184,0,0.0
00:00:10.132,10.132,183,0,0.0
00:00:10.417,10.417,183,0,0.0
00:00:10.688,10.688,184,0,0.0
00:00:10.959,10.959,184,0,0.0
00:00:11.224,11.224,183,0,0.0
00:00:11.508,11.508,183,0,0.0
00:00:11.800,11.8,184,0,0.0
00:00:12.064,12.064,183,0,-0.4184100418409997
00:00:12.322,12.322,183,17,0.0
00:00:12.594,12.594,183,59,0.0
00:00:12.878,12.878,183,86,0.0
00:00:13.209,13.209,184,95,0.0
00:00:13.527,13.527,184,166,0.0
00:00:13.844,13.844,185,244,-0.4184100418409997
00:00:14.162,14.162,187,310,-0.4184100418409997
00:00:14.486,14.486,188,346,0.0
00:00:14.810,14.81,190,416,0.0
00:00:15.115,15.115,192,448,-0.4184100418409997
